F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,label
3.23,0.0,0.0,0.0,0.0,22.58,0.0,3.23,16.13,0.0,0.0,9.68,19.35,3.23,9.68,6.45,3.23,0.0,0.0,3.23,1
9.68,0.0,0.0,3.23,3.23,3.23,0.0,12.9,12.9,6.45,3.23,9.68,6.45,3.23,3.23,0.0,3.23,0.0,6.45,12.9,1
0.0,0.0,0.0,6.45,0.0,0.0,0.0,22.58,29.03,3.23,3.23,3.23,0.0,0.0,9.68,3.23,3.23,12.9,3.23,0.0,1
9.68,0.0,6.45,3.23,0.0,6.45,0.0,6.45,12.9,19.35,0.0,0.0,0.0,0.0,22.58,0.0,0.0,6.45,0.0,6.45,1
0.0,0.0,3.23,0.0,0.0,9.68,0.0,9.68,9.68,19.35,3.23,3.23,3.23,3.23,9.68,0.0,9.68,16.13,0.0,0.0,1
22.58,0.0,0.0,0.0,0.0,9.68,3.23,6.45,12.9,0.0,3.23,0.0,0.0,0.0,9.68,0.0,3.23,25.81,0.0,3.23,1
6.45,0.0,0.0,6.45,0.0,3.23,0.0,6.45,19.35,12.9,3.23,3.23,6.45,0.0,6.45,9.68,6.45,9.68,0.0,0.0,1
0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.0,25.81,3.23,0.0,0.0,0.0,0.0,12.9,0.0,0.0,51.61,0.0,0.0,1
3.23,0.0,6.45,0.0,0.0,0.0,3.23,9.68,32.26,3.23,0.0,3.23,0.0,0.0,0.0,0.0,9.68,29.03,0.0,0.0,1
38.71,0.0,0.0,0.0,0.0,6.45,0.0,0.0,45.16,0.0,0.0,0.0,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,3.23,3.23,25.81,25.81,3.23,0.0,9.68,0.0,0.0,0.0,6.45,3.23,3.23,12.9,3.23,1
12.5,0.0,0.0,6.25,3.12,6.25,6.25,6.25,15.62,3.12,3.12,0.0,3.12,0.0,9.38,0.0,3.12,6.25,3.12,12.5,1
9.38,0.0,0.0,3.12,15.62,0.0,0.0,12.5,12.5,12.5,0.0,3.12,0.0,0.0,3.12,0.0,0.0,21.88,0.0,6.25,1
15.62,0.0,6.25,0.0,3.12,12.5,0.0,12.5,6.25,18.75,0.0,3.12,6.25,0.0,3.12,6.25,3.12,3.12,0.0,0.0,1
6.25,0.0,6.25,6.25,0.0,3.12,6.25,3.12,6.25,15.62,0.0,0.0,3.12,0.0,15.62,6.25,3.12,12.5,0.0,6.25,1
21.88,3.12,0.0,0.0,0.0,15.62,6.25,6.25,6.25,15.62,3.12,0.0,0.0,0.0,6.25,6.25,0.0,6.25,3.12,0.0,1
15.62,0.0,3.12,0.0,0.0,3.12,0.0,21.88,12.5,6.25,0.0,6.25,0.0,0.0,3.12,0.0,6.25,12.5,9.38,0.0,1
